"GEOID","NAME","team_count","has_NFL","has_NBA","has_MLB","has_NHL","has_team"
10180,"Abilene, TX Metro Area",0,0,0,0,0,0
10420,"Akron, OH Metro Area",0,0,0,0,0,0
10500,"Albany, GA Metro Area",0,0,0,0,0,0
10540,"Albany, OR Metro Area",0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY Metro Area",0,0,0,0,0,0
10740,"Albuquerque, NM Metro Area",0,0,0,0,0,0
10780,"Alexandria, LA Metro Area",0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,0,0,0,0
11020,"Altoona, PA Metro Area",0,0,0,0,0,0
11100,"Amarillo, TX Metro Area",0,0,0,0,0,0
11180,"Ames, IA Metro Area",0,0,0,0,0,0
11200,"Amherst Town-Northampton, MA Metro Area",0,0,0,0,0,0
11260,"Anchorage, AK Metro Area",0,0,0,0,0,0
11460,"Ann Arbor, MI Metro Area",0,0,0,0,0,0
11500,"Anniston-Oxford, AL Metro Area",0,0,0,0,0,0
11540,"Appleton, WI Metro Area",0,0,0,0,0,0
11700,"Asheville, NC Metro Area",0,0,0,0,0,0
12020,"Athens-Clarke County, GA Metro Area",0,0,0,0,0,0
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",3,1,1,1,0,1
12100,"Atlantic City-Hammonton, NJ Metro Area",0,0,0,0,0,0
12220,"Auburn-Opelika, AL Metro Area",0,0,0,0,0,0
12260,"Augusta-Richmond County, GA-SC Metro Area",0,0,0,0,0,0
12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,0,0,0,0
12540,"Bakersfield-Delano, CA Metro Area",0,0,0,0,0,0
12580,"Baltimore-Columbia-Towson, MD Metro Area",2,1,0,1,0,1
12620,"Bangor, ME Metro Area",0,0,0,0,0,0
12700,"Barnstable Town, MA Metro Area",0,0,0,0,0,0
12940,"Baton Rouge, LA Metro Area",0,0,0,0,0,0
12980,"Battle Creek, MI Metro Area",0,0,0,0,0,0
13020,"Bay City, MI Metro Area",0,0,0,0,0,0
13140,"Beaumont-Port Arthur, TX Metro Area",0,0,0,0,0,0
13220,"Beckley, WV Metro Area",0,0,0,0,0,0
13380,"Bellingham, WA Metro Area",0,0,0,0,0,0
13460,"Bend, OR Metro Area",0,0,0,0,0,0
13740,"Billings, MT Metro Area",0,0,0,0,0,0
13780,"Binghamton, NY Metro Area",0,0,0,0,0,0
13820,"Birmingham, AL Metro Area",0,0,0,0,0,0
13900,"Bismarck, ND Metro Area",0,0,0,0,0,0
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",0,0,0,0,0,0
14010,"Bloomington, IL Metro Area",0,0,0,0,0,0
14020,"Bloomington, IN Metro Area",0,0,0,0,0,0
14260,"Boise City, ID Metro Area",0,0,0,0,0,0
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4,1,1,1,1,1
14500,"Boulder, CO Metro Area",0,0,0,0,0,0
14540,"Bowling Green, KY Metro Area",0,0,0,0,0,0
14580,"Bozeman, MT Metro Area",0,0,0,0,0,0
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",0,0,0,0,0,0
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",0,0,0,0,0,0
15180,"Brownsville-Harlingen, TX Metro Area",0,0,0,0,0,0
15260,"Brunswick-St. Simons, GA Metro Area",0,0,0,0,0,0
15380,"Buffalo-Cheektowaga, NY Metro Area",2,1,0,0,1,1
15500,"Burlington, NC Metro Area",0,0,0,0,0,0
15540,"Burlington-South Burlington, VT Metro Area",0,0,0,0,0,0
15940,"Canton-Massillon, OH Metro Area",0,0,0,0,0,0
15980,"Cape Coral-Fort Myers, FL Metro Area",0,0,0,0,0,0
16020,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0
16180,"Carson City, NV Metro Area",0,0,0,0,0,0
16220,"Casper, WY Metro Area",0,0,0,0,0,0
16300,"Cedar Rapids, IA Metro Area",0,0,0,0,0,0
16540,"Chambersburg, PA Metro Area",0,0,0,0,0,0
16580,"Champaign-Urbana, IL Metro Area",0,0,0,0,0,0
16620,"Charleston, WV Metro Area",0,0,0,0,0,0
16700,"Charleston-North Charleston, SC Metro Area",0,0,0,0,0,0
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2,1,1,0,0,1
16820,"Charlottesville, VA Metro Area",0,0,0,0,0,0
16860,"Chattanooga, TN-GA Metro Area",0,0,0,0,0,0
16940,"Cheyenne, WY Metro Area",0,0,0,0,0,0
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",5,1,1,1,1,1
17020,"Chico, CA Metro Area",0,0,0,0,0,0
17140,"Cincinnati, OH-KY-IN Metro Area",2,1,0,1,0,1
17300,"Clarksville, TN-KY Metro Area",0,0,0,0,0,0
17410,"Cleveland, OH Metro Area",3,1,1,1,0,1
17420,"Cleveland, TN Metro Area",0,0,0,0,0,0
17660,"Coeur d'Alene, ID Metro Area",0,0,0,0,0,0
17780,"College Station-Bryan, TX Metro Area",0,0,0,0,0,0
17820,"Colorado Springs, CO Metro Area",0,0,0,0,0,0
17860,"Columbia, MO Metro Area",0,0,0,0,0,0
17900,"Columbia, SC Metro Area",0,0,0,0,0,0
17980,"Columbus, GA-AL Metro Area",0,0,0,0,0,0
18020,"Columbus, IN Metro Area",0,0,0,0,0,0
18140,"Columbus, OH Metro Area",1,0,0,0,1,1
18580,"Corpus Christi, TX Metro Area",0,0,0,0,0,0
18700,"Corvallis, OR Metro Area",0,0,0,0,0,0
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",0,0,0,0,0,0
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",4,1,1,1,1,1
19140,"Dalton, GA Metro Area",0,0,0,0,0,0
19300,"Daphne-Fairhope-Foley, AL Metro Area",0,0,0,0,0,0
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",0,0,0,0,0,0
19430,"Dayton-Kettering-Beavercreek, OH Metro Area",0,0,0,0,0,0
19460,"Decatur, AL Metro Area",0,0,0,0,0,0
19500,"Decatur, IL Metro Area",0,0,0,0,0,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0,0,0,0,0,0
19740,"Denver-Aurora-Centennial, CO Metro Area",4,1,1,1,1,1
19780,"Des Moines-West Des Moines, IA Metro Area",0,0,0,0,0,0
19820,"Detroit-Warren-Dearborn, MI Metro Area",4,1,1,1,1,1
20020,"Dothan, AL Metro Area",0,0,0,0,0,0
20100,"Dover, DE Metro Area",0,0,0,0,0,0
20220,"Dubuque, IA Metro Area",0,0,0,0,0,0
20260,"Duluth, MN-WI Metro Area",0,0,0,0,0,0
20500,"Durham-Chapel Hill, NC Metro Area",0,0,0,0,0,0
20580,"Eagle Pass, TX Metro Area",0,0,0,0,0,0
20740,"Eau Claire, WI Metro Area",0,0,0,0,0,0
20940,"El Centro, CA Metro Area",0,0,0,0,0,0
21060,"Elizabethtown, KY Metro Area",0,0,0,0,0,0
21140,"Elkhart-Goshen, IN Metro Area",0,0,0,0,0,0
21300,"Elmira, NY Metro Area",0,0,0,0,0,0
21340,"El Paso, TX Metro Area",0,0,0,0,0,0
21420,"Enid, OK Metro Area",0,0,0,0,0,0
21500,"Erie, PA Metro Area",0,0,0,0,0,0
21660,"Eugene-Springfield, OR Metro Area",0,0,0,0,0,0
21780,"Evansville, IN Metro Area",0,0,0,0,0,0
21820,"Fairbanks-College, AK Metro Area",0,0,0,0,0,0
22020,"Fargo, ND-MN Metro Area",0,0,0,0,0,0
22140,"Farmington, NM Metro Area",0,0,0,0,0,0
22180,"Fayetteville, NC Metro Area",0,0,0,0,0,0
22220,"Fayetteville-Springdale-Rogers, AR Metro Area",0,0,0,0,0,0
22380,"Flagstaff, AZ Metro Area",0,0,0,0,0,0
22420,"Flint, MI Metro Area",0,0,0,0,0,0
22500,"Florence, SC Metro Area",0,0,0,0,0,0
22520,"Florence-Muscle Shoals, AL Metro Area",0,0,0,0,0,0
22540,"Fond du Lac, WI Metro Area",0,0,0,0,0,0
22660,"Fort Collins-Loveland, CO Metro Area",0,0,0,0,0,0
22900,"Fort Smith, AR-OK Metro Area",0,0,0,0,0,0
23060,"Fort Wayne, IN Metro Area",0,0,0,0,0,0
23420,"Fresno, CA Metro Area",0,0,0,0,0,0
23460,"Gadsden, AL Metro Area",0,0,0,0,0,0
23540,"Gainesville, FL Metro Area",0,0,0,0,0,0
23580,"Gainesville, GA Metro Area",0,0,0,0,0,0
23900,"Gettysburg, PA Metro Area",0,0,0,0,0,0
24020,"Glens Falls, NY Metro Area",0,0,0,0,0,0
24140,"Goldsboro, NC Metro Area",0,0,0,0,0,0
24220,"Grand Forks, ND-MN Metro Area",0,0,0,0,0,0
24260,"Grand Island, NE Metro Area",0,0,0,0,0,0
24300,"Grand Junction, CO Metro Area",0,0,0,0,0,0
24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",0,0,0,0,0,0
24420,"Grants Pass, OR Metro Area",0,0,0,0,0,0
24500,"Great Falls, MT Metro Area",0,0,0,0,0,0
24540,"Greeley, CO Metro Area",0,0,0,0,0,0
24580,"Green Bay, WI Metro Area",1,1,0,0,0,1
24660,"Greensboro-High Point, NC Metro Area",0,0,0,0,0,0
24780,"Greenville, NC Metro Area",0,0,0,0,0,0
24860,"Greenville-Anderson-Greer, SC Metro Area",0,0,0,0,0,0
25060,"Gulfport-Biloxi, MS Metro Area",0,0,0,0,0,0
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",0,0,0,0,0,0
25220,"Hammond, LA Metro Area",0,0,0,0,0,0
25260,"Hanford-Corcoran, CA Metro Area",0,0,0,0,0,0
25420,"Harrisburg-Carlisle, PA Metro Area",0,0,0,0,0,0
25500,"Harrisonburg, VA Metro Area",0,0,0,0,0,0
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",0,0,0,0,0,0
25620,"Hattiesburg, MS Metro Area",0,0,0,0,0,0
25740,"Helena, MT Metro Area",0,0,0,0,0,0
25860,"Hickory-Lenoir-Morganton, NC Metro Area",0,0,0,0,0,0
25940,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",0,0,0,0,0,0
25980,"Hinesville, GA Metro Area",0,0,0,0,0,0
26140,"Homosassa Springs, FL Metro Area",0,0,0,0,0,0
26300,"Hot Springs, AR Metro Area",0,0,0,0,0,0
26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",0,0,0,0,0,0
26420,"Houston-Pasadena-The Woodlands, TX Metro Area",3,1,1,1,0,1
26580,"Huntington-Ashland, WV-KY-OH Metro Area",0,0,0,0,0,0
26620,"Huntsville, AL Metro Area",0,0,0,0,0,0
26820,"Idaho Falls, ID Metro Area",0,0,0,0,0,0
26900,"Indianapolis-Carmel-Greenwood, IN Metro Area",1,1,1,0,0,1
26980,"Iowa City, IA Metro Area",0,0,0,0,0,0
27060,"Ithaca, NY Metro Area",0,0,0,0,0,0
27100,"Jackson, MI Metro Area",0,0,0,0,0,0
27140,"Jackson, MS Metro Area",0,0,0,0,0,0
27180,"Jackson, TN Metro Area",0,0,0,0,0,0
27260,"Jacksonville, FL Metro Area",1,1,0,0,0,1
27340,"Jacksonville, NC Metro Area",0,0,0,0,0,0
27500,"Janesville-Beloit, WI Metro Area",0,0,0,0,0,0
27620,"Jefferson City, MO Metro Area",0,0,0,0,0,0
27740,"Johnson City, TN Metro Area",0,0,0,0,0,0
27780,"Johnstown, PA Metro Area",0,0,0,0,0,0
27860,"Jonesboro, AR Metro Area",0,0,0,0,0,0
27900,"Joplin, MO-KS Metro Area",0,0,0,0,0,0
27980,"Kahului-Wailuku, HI Metro Area",0,0,0,0,0,0
28020,"Kalamazoo-Portage, MI Metro Area",0,0,0,0,0,0
28100,"Kankakee, IL Metro Area",0,0,0,0,0,0
28140,"Kansas City, MO-KS Metro Area",2,1,0,1,0,1
28420,"Kennewick-Richland, WA Metro Area",0,0,0,0,0,0
28450,"Kenosha, WI Metro Area",0,0,0,0,0,0
28660,"Killeen-Temple, TX Metro Area",0,0,0,0,0,0
28700,"Kingsport-Bristol, TN-VA Metro Area",0,0,0,0,0,0
28740,"Kingston, NY Metro Area",0,0,0,0,0,0
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",0,0,0,0,0,0
28940,"Knoxville, TN Metro Area",0,0,0,0,0,0
29020,"Kokomo, IN Metro Area",0,0,0,0,0,0
29100,"La Crosse-Onalaska, WI-MN Metro Area",0,0,0,0,0,0
29180,"Lafayette, LA Metro Area",0,0,0,0,0,0
29200,"Lafayette-West Lafayette, IN Metro Area",0,0,0,0,0,0
29340,"Lake Charles, LA Metro Area",0,0,0,0,0,0
29420,"Lake Havasu City-Kingman, AZ Metro Area",0,0,0,0,0,0
29460,"Lakeland-Winter Haven, FL Metro Area",0,0,0,0,0,0
29540,"Lancaster, PA Metro Area",0,0,0,0,0,0
29620,"Lansing-East Lansing, MI Metro Area",0,0,0,0,0,0
29700,"Laredo, TX Metro Area",0,0,0,0,0,0
29740,"Las Cruces, NM Metro Area",0,0,0,0,0,0
29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",3,1,0,0,1,1
29940,"Lawrence, KS Metro Area",0,0,0,0,0,0
30020,"Lawton, OK Metro Area",0,0,0,0,0,0
30140,"Lebanon, PA Metro Area",0,0,0,0,0,0
30300,"Lewiston, ID-WA Metro Area",0,0,0,0,0,0
30340,"Lewiston-Auburn, ME Metro Area",0,0,0,0,0,0
30460,"Lexington-Fayette, KY Metro Area",0,0,0,0,0,0
30500,"Lexington Park, MD Metro Area",0,0,0,0,0,0
30620,"Lima, OH Metro Area",0,0,0,0,0,0
30700,"Lincoln, NE Metro Area",0,0,0,0,0,0
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",0,0,0,0,0,0
30860,"Logan, UT-ID Metro Area",0,0,0,0,0,0
30980,"Longview, TX Metro Area",0,0,0,0,0,0
31020,"Longview-Kelso, WA Metro Area",0,0,0,0,0,0
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",8,1,1,1,1,1
31140,"Louisville/Jefferson County, KY-IN Metro Area",0,0,0,0,0,0
31180,"Lubbock, TX Metro Area",0,0,0,0,0,0
31340,"Lynchburg, VA Metro Area",0,0,0,0,0,0
31420,"Macon-Bibb County, GA Metro Area",0,0,0,0,0,0
31540,"Madison, WI Metro Area",0,0,0,0,0,0
31700,"Manchester-Nashua, NH Metro Area",0,0,0,0,0,0
31740,"Manhattan, KS Metro Area",0,0,0,0,0,0
31860,"Mankato, MN Metro Area",0,0,0,0,0,0
31900,"Mansfield, OH Metro Area",0,0,0,0,0,0
32580,"McAllen-Edinburg-Mission, TX Metro Area",0,0,0,0,0,0
32780,"Medford, OR Metro Area",0,0,0,0,0,0
32820,"Memphis, TN-MS-AR Metro Area",1,0,1,0,0,1
32900,"Merced, CA Metro Area",0,0,0,0,0,0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",4,1,1,1,1,1
33140,"Michigan City-La Porte, IN Metro Area",0,0,0,0,0,0
33220,"Midland, MI Metro Area",0,0,0,0,0,0
33260,"Midland, TX Metro Area",0,0,0,0,0,0
33340,"Milwaukee-Waukesha, WI Metro Area",1,0,1,0,0,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",4,1,1,1,1,1
33500,"Minot, ND Metro Area",0,0,0,0,0,0
33540,"Missoula, MT Metro Area",0,0,0,0,0,0
33660,"Mobile, AL Metro Area",0,0,0,0,0,0
33700,"Modesto, CA Metro Area",0,0,0,0,0,0
33740,"Monroe, LA Metro Area",0,0,0,0,0,0
33780,"Monroe, MI Metro Area",0,0,0,0,0,0
33860,"Montgomery, AL Metro Area",0,0,0,0,0,0
34060,"Morgantown, WV Metro Area",0,0,0,0,0,0
34100,"Morristown, TN Metro Area",0,0,0,0,0,0
34580,"Mount Vernon-Anacortes, WA Metro Area",0,0,0,0,0,0
34620,"Muncie, IN Metro Area",0,0,0,0,0,0
34740,"Muskegon-Norton Shores, MI Metro Area",0,0,0,0,0,0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",0,0,0,0,0,0
34900,"Napa, CA Metro Area",0,0,0,0,0,0
34940,"Naples-Marco Island, FL Metro Area",0,0,0,0,0,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",3,1,1,0,1,1
35300,"New Haven, CT Metro Area",0,0,0,0,0,0
35380,"New Orleans-Metairie, LA Metro Area",2,1,1,0,0,1
35620,"New York-Newark-Jersey City, NY-NJ Metro Area",9,1,1,1,1,1
35660,"Niles, MI Metro Area",0,0,0,0,0,0
35840,"North Port-Bradenton-Sarasota, FL Metro Area",0,0,0,0,0,0
35980,"Norwich-New London-Willimantic, CT Metro Area",0,0,0,0,0,0
36100,"Ocala, FL Metro Area",0,0,0,0,0,0
36220,"Odessa, TX Metro Area",0,0,0,0,0,0
36260,"Ogden, UT Metro Area",0,0,0,0,0,0
36420,"Oklahoma City, OK Metro Area",1,0,1,0,0,1
36500,"Olympia-Lacey-Tumwater, WA Metro Area",0,0,0,0,0,0
36540,"Omaha, NE-IA Metro Area",0,0,0,0,0,0
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",1,0,1,0,0,1
36780,"Oshkosh-Neenah, WI Metro Area",0,0,0,0,0,0
36980,"Owensboro, KY Metro Area",0,0,0,0,0,0
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0,0,0,0,0,0
37140,"Paducah, KY-IL Metro Area",0,0,0,0,0,0
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",0,0,0,0,0,0
37460,"Panama City-Panama City Beach, FL Metro Area",0,0,0,0,0,0
37620,"Parkersburg-Vienna, WV Metro Area",0,0,0,0,0,0
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",0,0,0,0,0,0
37900,"Peoria, IL Metro Area",0,0,0,0,0,0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4,1,1,1,1,1
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4,1,1,1,1,1
38240,"Pinehurst-Southern Pines, NC Metro Area",0,0,0,0,0,0
38300,"Pittsburgh, PA Metro Area",3,1,0,1,1,1
38340,"Pittsfield, MA Metro Area",0,0,0,0,0,0
38540,"Pocatello, ID Metro Area",0,0,0,0,0,0
38860,"Portland-South Portland, ME Metro Area",0,0,0,0,0,0
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1,0,1,0,0,1
38940,"Port St. Lucie, FL Metro Area",0,0,0,0,0,0
39150,"Prescott Valley-Prescott, AZ Metro Area",0,0,0,0,0,0
39300,"Providence-Warwick, RI-MA Metro Area",0,0,0,0,0,0
39340,"Provo-Orem-Lehi, UT Metro Area",0,0,0,0,0,0
39380,"Pueblo, CO Metro Area",0,0,0,0,0,0
39460,"Punta Gorda, FL Metro Area",0,0,0,0,0,0
39540,"Racine-Mount Pleasant, WI Metro Area",0,0,0,0,0,0
39580,"Raleigh-Cary, NC Metro Area",0,0,0,0,0,0
39660,"Rapid City, SD Metro Area",0,0,0,0,0,0
39740,"Reading, PA Metro Area",0,0,0,0,0,0
39820,"Redding, CA Metro Area",0,0,0,0,0,0
39900,"Reno, NV Metro Area",0,0,0,0,0,0
40060,"Richmond, VA Metro Area",0,0,0,0,0,0
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",0,0,0,0,0,0
40220,"Roanoke, VA Metro Area",0,0,0,0,0,0
40340,"Rochester, MN Metro Area",0,0,0,0,0,0
40380,"Rochester, NY Metro Area",0,0,0,0,0,0
40420,"Rockford, IL Metro Area",0,0,0,0,0,0
40580,"Rocky Mount, NC Metro Area",0,0,0,0,0,0
40660,"Rome, GA Metro Area",0,0,0,0,0,0
40900,"Sacramento-Roseville-Folsom, CA Metro Area",1,0,1,0,0,1
40980,"Saginaw, MI Metro Area",0,0,0,0,0,0
41060,"St. Cloud, MN Metro Area",0,0,0,0,0,0
41100,"St. George, UT Metro Area",0,0,0,0,0,0
41140,"St. Joseph, MO-KS Metro Area",0,0,0,0,0,0
41180,"St. Louis, MO-IL Metro Area",2,1,0,1,1,1
41420,"Salem, OR Metro Area",0,0,0,0,0,0
41500,"Salinas, CA Metro Area",0,0,0,0,0,0
41540,"Salisbury, MD Metro Area",0,0,0,0,0,0
41620,"Salt Lake City-Murray, UT Metro Area",2,0,1,0,1,1
41660,"San Angelo, TX Metro Area",0,0,0,0,0,0
41700,"San Antonio-New Braunfels, TX Metro Area",1,0,1,0,0,1
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",1,0,0,1,0,1
41780,"Sandusky, OH Metro Area",0,0,0,0,0,0
41860,"San Francisco-Oakland-Fremont, CA Metro Area",4,1,1,1,1,1
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2,0,0,0,1,1
42020,"San Luis Obispo-Paso Robles, CA Metro Area",0,0,0,0,0,0
42100,"Santa Cruz-Watsonville, CA Metro Area",0,0,0,0,0,0
42140,"Santa Fe, NM Metro Area",0,0,0,0,0,0
42200,"Santa Maria-Santa Barbara, CA Metro Area",0,0,0,0,0,0
42220,"Santa Rosa-Petaluma, CA Metro Area",0,0,0,0,0,0
42340,"Savannah, GA Metro Area",0,0,0,0,0,0
42540,"Scranton--Wilkes-Barre, PA Metro Area",0,0,0,0,0,0
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3,1,0,1,1,1
42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",0,0,0,0,0,0
42700,"Sebring, FL Metro Area",0,0,0,0,0,0
43100,"Sheboygan, WI Metro Area",0,0,0,0,0,0
43300,"Sherman-Denison, TX Metro Area",0,0,0,0,0,0
43340,"Shreveport-Bossier City, LA Metro Area",0,0,0,0,0,0
43420,"Sierra Vista-Douglas, AZ Metro Area",0,0,0,0,0,0
43580,"Sioux City, IA-NE-SD Metro Area",0,0,0,0,0,0
43620,"Sioux Falls, SD-MN Metro Area",0,0,0,0,0,0
43640,"Slidell-Mandeville-Covington, LA Metro Area",0,0,0,0,0,0
43780,"South Bend-Mishawaka, IN-MI Metro Area",0,0,0,0,0,0
43900,"Spartanburg, SC Metro Area",0,0,0,0,0,0
44060,"Spokane-Spokane Valley, WA Metro Area",0,0,0,0,0,0
44100,"Springfield, IL Metro Area",0,0,0,0,0,0
44140,"Springfield, MA Metro Area",0,0,0,0,0,0
44180,"Springfield, MO Metro Area",0,0,0,0,0,0
44220,"Springfield, OH Metro Area",0,0,0,0,0,0
44300,"State College, PA Metro Area",0,0,0,0,0,0
44420,"Staunton-Stuarts Draft, VA Metro Area",0,0,0,0,0,0
44700,"Stockton-Lodi, CA Metro Area",0,0,0,0,0,0
44940,"Sumter, SC Metro Area",0,0,0,0,0,0
45060,"Syracuse, NY Metro Area",0,0,0,0,0,0
45220,"Tallahassee, FL Metro Area",0,0,0,0,0,0
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3,1,0,1,1,1
45460,"Terre Haute, IN Metro Area",0,0,0,0,0,0
45500,"Texarkana, TX-AR Metro Area",0,0,0,0,0,0
45780,"Toledo, OH Metro Area",0,0,0,0,0,0
45820,"Topeka, KS Metro Area",0,0,0,0,0,0
45900,"Traverse City, MI Metro Area",0,0,0,0,0,0
45940,"Trenton-Princeton, NJ Metro Area",0,0,0,0,0,0
46060,"Tucson, AZ Metro Area",0,0,0,0,0,0
46140,"Tulsa, OK Metro Area",0,0,0,0,0,0
46220,"Tuscaloosa, AL Metro Area",0,0,0,0,0,0
46300,"Twin Falls, ID Metro Area",0,0,0,0,0,0
46340,"Tyler, TX Metro Area",0,0,0,0,0,0
46520,"Urban Honolulu, HI Metro Area",0,0,0,0,0,0
46540,"Utica-Rome, NY Metro Area",0,0,0,0,0,0
46660,"Valdosta, GA Metro Area",0,0,0,0,0,0
46700,"Vallejo, CA Metro Area",0,0,0,0,0,0
47020,"Victoria, TX Metro Area",0,0,0,0,0,0
47220,"Vineland, NJ Metro Area",0,0,0,0,0,0
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",0,0,0,0,0,0
47300,"Visalia, CA Metro Area",0,0,0,0,0,0
47380,"Waco, TX Metro Area",0,0,0,0,0,0
47460,"Walla Walla, WA Metro Area",0,0,0,0,0,0
47580,"Warner Robins, GA Metro Area",0,0,0,0,0,0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",4,1,1,1,1,1
47930,"Waterbury-Shelton, CT Metro Area",0,0,0,0,0,0
47940,"Waterloo-Cedar Falls, IA Metro Area",0,0,0,0,0,0
48060,"Watertown-Fort Drum, NY Metro Area",0,0,0,0,0,0
48140,"Wausau, WI Metro Area",0,0,0,0,0,0
48260,"Weirton-Steubenville, WV-OH Metro Area",0,0,0,0,0,0
48300,"Wenatchee-East Wenatchee, WA Metro Area",0,0,0,0,0,0
48540,"Wheeling, WV-OH Metro Area",0,0,0,0,0,0
48620,"Wichita, KS Metro Area",0,0,0,0,0,0
48660,"Wichita Falls, TX Metro Area",0,0,0,0,0,0
48680,"Wildwood-The Villages, FL Metro Area",0,0,0,0,0,0
48700,"Williamsport, PA Metro Area",0,0,0,0,0,0
48900,"Wilmington, NC Metro Area",0,0,0,0,0,0
49020,"Winchester, VA-WV Metro Area",0,0,0,0,0,0
49180,"Winston-Salem, NC Metro Area",0,0,0,0,0,0
49340,"Worcester, MA Metro Area",0,0,0,0,0,0
49420,"Yakima, WA Metro Area",0,0,0,0,0,0
49620,"York-Hanover, PA Metro Area",0,0,0,0,0,0
49660,"Youngstown-Warren, OH Metro Area",0,0,0,0,0,0
49700,"Yuba City, CA Metro Area",0,0,0,0,0,0
49740,"Yuma, AZ Metro Area",0,0,0,0,0,0
